date,retail_recreation,grocery_pharmacy,parks,station,workplaces,residential,expected_mobility
2021-12-22,-20.0,45.0,-35.0,-2.0,-12.0,5.0,-3.1666666666666665
2021-12-23,-20.0,40.0,-37.0,-6.0,-14.0,6.0,-5.166666666666666
2021-12-24,-18.0,43.0,-33.0,-6.0,-16.0,5.0,-4.166666666666666
2021-12-25,-24.0,25.0,-36.0,-12.0,-26.0,7.0,-11.0
2021-12-26,-26.0,25.0,-36.0,6.0,5.0,1.0,-4.166666666666666
2021-12-27,-22.0,34.0,-35.0,-10.0,-20.0,6.0,-7.833333333333333
2021-12-28,-23.0,33.0,-34.0,-11.0,-18.0,7.0,-7.666666666666666
2021-12-29,-22.0,43.0,-35.0,-7.0,-17.0,6.0,-5.333333333333333
2021-12-30,-26.0,34.0,-39.0,-13.0,-19.0,8.0,-9.166666666666666
2021-12-31,-23.0,39.0,-40.0,-15.0,-20.0,7.0,-8.666666666666666
